Hawaii Ocean Time-series : 01-May-2022 22:32:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/ppextraction.html

crn, date, stime, etime, itype, depth, chl, l12, 
#, yymmdd, hhmm, hhmm, , m, mg/m3, mg C/m3, 
  1, 881031,   -9,   -9,  0,   24,  0.129, 12.210,
  1, 881031,   -9,   -9,  0,   42,  0.192,  2.470,
  1, 881031,   -9,   -9,  0,   68,  0.285,  2.580,
  1, 881031,   -9,   -9,  0,  114,  0.326,  0.720,
  2, 881202,   -9,   -9,  0,    0,  0.202, -9.000,
  2, 881202,   -9,   -9,  0,   25,  0.192, -9.000,
  2, 881202,   -9,   -9,  0,   50,  0.181, -9.000,
  2, 881202,   -9,   -9,  0,   76,  0.377, -9.000,
  2, 881202,   -9,   -9,  0,  102,  0.272, -9.000,
  2, 881202,   -9,   -9,  0,  127,  0.167, -9.000,
  2, 881202,   -9,   -9,  0,  150,  0.044, -9.000,
  2, 881202,   -9,   -9,  0,  176,  0.025, -9.000,
  3, 890108,   -9,   -9,  0,    9,  0.192,  2.005,
  3, 890108,   -9,   -9,  0,   28,  0.256,  2.975,
  3, 890108,   -9,   -9,  0,   50,  0.240,  4.600,
  3, 890108,   -9,   -9,  0,   77,  0.213,  2.110,
  3, 890108,   -9,   -9,  0,  101,  0.266, -9.000,
  3, 890108,   -9,   -9,  0,  126,  0.269,  0.330,
  3, 890108,   -9,   -9,  0,  149,  0.145, -9.000,
  3, 890108,   -9,   -9,  0,  178,  0.057,  0.045,
  4, 890228,   -9,   -9,  0,   10,  0.125,  4.750,
  4, 890228,   -9,   -9,  0,   26,  0.129,  5.480,
  4, 890228,   -9,   -9,  0,   45,  0.172,  2.610,
  4, 890228,   -9,   -9,  0,   75,  0.188,  1.700,
  4, 890228,   -9,   -9,  0,  101,  0.223, -9.000,
  4, 890228,   -9,   -9,  0,  125,  0.167,  2.380,
  4, 890228,   -9,   -9,  0,  151,  0.055, -9.000,
  4, 890228,   -9,   -9,  0,  178,  0.025,  0.100,
  5, 890327,   -9,   -9,  0,    5,  0.086,  1.920,
  5, 890327,   -9,   -9,  0,   25,  0.066,  4.920,
  5, 890327,   -9,   -9,  0,   45,  0.090,  4.070,
  5, 890327,   -9,   -9,  0,   75,  0.163,  1.015,
  5, 890327,   -9,   -9,  0,  100,  0.212, -9.000,
  5, 890327,   -9,   -9,  0,  125,  0.373,  0.795,
  5, 890327,   -9,   -9,  0,  150,  0.235, -9.000,
  5, 890327,   -9,   -9,  0,  175,  0.041,  0.340,
  6, 890518,   -9,   -9,  0,    5,  0.067,  4.025,
  6, 890518,   -9,   -9,  0,   25,  0.077,  7.355,
  6, 890518,   -9,   -9,  0,   45,  0.083,  3.350,
  6, 890518,   -9,   -9,  0,   75,  0.091,  5.540,
  6, 890518,   -9,   -9,  0,  100,  0.164, -9.000,
  6, 890518,   -9,   -9,  0,  125,  0.208,  0.230,
  6, 890518,   -9,   -9,  0,  150,  0.078, -9.000,
  6, 890518,   -9,   -9,  0,  175,  0.084,  0.155,
  7, 890624,   -9,   -9,  0,    5,  0.089,  4.700,
  7, 890624,   -9,   -9,  0,   25,  0.090,  3.015,
  7, 890624,   -9,   -9,  0,   45,  0.100,  3.100,
  7, 890624,   -9,   -9,  0,   75,  0.194,  1.105,
  7, 890624,   -9,   -9,  0,  100,  0.328,  3.320,
  7, 890624,   -9,   -9,  0,  125,  0.144,  0.325,
  7, 890624,   -9,   -9,  0,  150,  0.065,  0.210,
  7, 890624,   -9,   -9,  0,  175,  0.039,  0.120,
  8, 890729,   -9, 1900,  1,    5,  0.147,  3.890,
  8, 890729,   -9, 1900,  1,   25,  0.143,  5.025,
  8, 890729,   -9, 1900,  1,   45,  0.153,  6.295,
  8, 890729,   -9, 1900,  1,   75,  0.190,  3.795,
  8, 890729,   -9, 1900,  1,  100,  0.347,  3.145,
  8, 890729,   -9, 1900,  1,  125,  0.233,  0.845,
  8, 890729,   -9, 1900,  1,  150,  0.094,  0.225,
